salary,age,elevel,car,zipcode,credit,brand
119806.5,45,0,14,4,442037.7,0
106880.5,63,1,11,6,45007.2,1
78020.8,23,0,15,2,48795.3,0
63689.9,51,3,6,5,40888.9,1
50873.6,20,3,14,4,352951.5,0
130812.7,56,3,14,3,135943.0,1
136459.3,24,4,8,5,80500.6,1
103866.9,62,3,3,0,359803.9,1
72298.8,29,4,17,0,276298.7,0
37803.3,41,1,5,4,493219.3,1
63704.3,48,4,16,5,299460.2,1
128999.9,52,1,6,0,152232.5,0
57991.3,52,3,20,4,227743.7,1
82474.6,33,4,13,3,424657.5,0
63989.0,62,2,6,3,262136.3,0
132310.4,23,1,11,4,451927.6,1
113236.4,24,2,7,7,198381.9,1
120525.6,57,1,6,2,15964.7,0
121457.6,50,2,2,8,415359.2,0
89741.0,77,0,18,2,195091.9,1
95142.1,44,0,2,8,89818.3,0
87384.0,80,3,7,5,243166.6,1
21143.9,64,2,11,2,296635.3,1
34581.6,55,0,15,6,185603.3,1
37200.7,32,3,9,6,168547.1,1
60305.5,58,1,4,4,469719.5,1
32839.4,30,4,20,1,177224.4,1
45070.5,48,3,1,5,360446.4,1
92417.8,43,0,2,0,22677.4,0
107710.3,75,0,16,2,209002.4,1
148495.4,62,2,9,1,377495.3,1
78238.1,70,3,8,0,80432.6,0
97736.8,21,1,1,2,76882.2,1
91315.2,57,3,16,6,267351.0,0
125452.1,42,3,14,1,417529.8,1
38579.2,44,2,10,3,84260.3,1
38043.1,52,2,2,3,210004.6,1
49692.1,42,4,8,2,462826.1,1
101454.6,26,0,18,2,22960.8,0
123266.1,45,0,17,3,0.0,0
108356.1,26,0,9,0,193313.0,1
145227.4,51,1,5,3,436186.8,1
47038.7,37,4,11,4,26372.0,1
90380.4,28,2,17,0,0.0,0
87634.0,59,2,5,6,206711.9,1
132209.9,68,2,4,6,417555.6,1
74868.8,71,1,7,5,176808.0,0
75014.3,72,3,18,3,296145.2,1
97986.0,69,2,5,5,247553.2,1
76687.0,41,0,4,3,405797.2,0
36679.3,35,4,12,1,15727.4,1
87572.5,43,1,12,4,68501.0,0
125796.5,57,0,15,7,323423.8,0
110027.7,52,0,16,4,386734.4,0
81015.3,63,0,7,7,250036.0,1
88405.4,36,4,8,7,195042.7,0
79709.1,51,2,3,1,291992.4,0
116982.1,42,0,5,6,250699.3,0
36761.2,32,2,6,2,114826.0,1
101996.9,33,0,8,2,276545.2,0
30991.7,75,1,18,4,307978.6,0
137871.8,24,0,17,5,115781.5,1
83185.1,62,4,2,8,163108.4,1
31430.2,47,4,10,2,177297.7,1
50883.1,72,1,18,6,259957.0,0
63708.4,31,0,18,6,129263.3,0
66431.5,79,1,20,6,388763.2,0
145409.7,22,1,16,3,393137.5,1
79448.8,42,2,5,2,62604.4,0
131957.8,65,4,11,1,238253.0,1
91708.6,44,4,9,5,396255.5,0
150000.0,46,4,1,8,313158.5,1
109505.1,61,2,10,3,68952.8,0
131927.7,63,1,8,1,424566.0,1
110539.1,64,4,11,6,257476.6,1
133162.4,69,0,7,8,413996.5,1
140352.0,75,2,15,4,339276.7,1
85161.2,64,2,14,5,36491.3,1
42954.5,64,0,13,0,463502.3,0
143756.7,54,1,13,2,88560.3,1
137368.9,57,4,12,8,415156.3,1
43378.0,30,0,6,2,190336.2,1
85920.0,75,3,7,1,43412.9,1
147788.4,30,1,5,2,131963.5,1
66923.4,73,4,11,1,266925.8,0
144289.6,31,4,7,7,113120.1,1
91947.7,73,0,12,6,237813.6,1
96785.8,52,4,19,5,148748.7,0
47399.2,21,4,2,3,362188.0,1
42158.6,53,1,3,6,121961.6,1
56740.9,66,2,18,6,144605.3,0
101076.9,22,0,6,1,268532.6,1
37854.6,59,0,9,0,496484.8,1
104524.8,75,3,9,3,252602.3,1
51053.5,30,0,15,5,88354.6,0
46822.5,29,2,7,8,414381.2,0
34759.5,58,4,16,1,396818.6,1
141628.0,75,2,18,3,326686.0,1
59628.9,36,4,12,7,290262.6,0
78359.0,76,3,10,7,365827.7,1
26963.8,35,1,8,5,266219.9,1
116112.7,26,4,19,7,404450.4,1
83246.1,73,3,13,2,252877.3,1
130659.3,29,0,15,0,271194.6,1
47868.3,41,2,14,3,36230.6,1
96033.6,57,1,14,6,482692.7,0
31392.3,24,1,1,7,491295.7,1
69737.8,61,2,16,6,348397.0,0
27102.7,46,0,16,2,293842.2,1
23654.6,76,0,14,1,460399.5,1
138560.6,62,4,18,0,81219.1,1
84730.8,61,4,16,6,190860.2,1
138221.6,45,2,7,4,219282.5,1
80798.4,47,2,11,5,390780.4,0
129050.5,77,4,10,4,481644.7,1
96839.4,53,1,18,4,393853.4,0
116080.6,65,3,19,8,70909.9,1
100820.0,70,4,4,6,463076.2,1
129275.0,29,2,12,0,98820.1,1
102307.3,77,0,3,1,305063.2,1
112471.4,24,1,2,2,318564.9,1
48880.2,38,2,9,4,376145.8,1
80460.5,21,4,2,7,180388.1,0
43727.8,43,3,19,1,199837.3,1
134832.9,44,3,10,6,387388.7,1
89282.6,55,3,14,4,245925.2,0
117663.3,70,1,5,0,291348.3,1
117036.9,34,3,3,2,114259.3,1
103561.7,38,3,4,7,362072.1,1
23964.8,57,1,17,4,165441.5,1
53452.2,32,1,20,2,24755.7,0
134663.8,51,1,2,1,476990.4,1
27705.6,41,4,16,5,213908.8,1
68420.4,26,4,14,2,485034.8,0
83499.8,78,4,19,3,211182.2,1
45257.9,40,2,11,4,374850.9,1
22083.3,52,1,14,7,87643.6,1
115221.6,42,3,12,8,460387.3,0
84020.7,72,4,11,4,334106.0,1
109830.2,24,1,9,8,144157.0,1
140784.7,60,4,3,4,485468.2,1
104363.6,29,2,15,8,71762.1,1
58089.9,45,2,9,5,460439.3,1
138483.5,34,4,17,7,158933.0,1
27228.8,39,0,19,1,365463.0,1
120233.0,70,2,16,8,91005.9,1
137794.6,24,0,13,2,216481.9,1
33466.4,74,4,20,6,123852.0,0
26387.0,52,1,3,2,93758.2,1
125117.0,32,3,15,0,290177.5,1
111872.7,41,0,8,1,13674.6,0
55982.0,60,3,2,1,50869.2,0
133279.8,41,2,15,6,260987.1,1
25011.4,20,4,3,7,282742.7,1
41010.7,62,4,9,4,476510.2,1
148518.8,52,1,17,8,293916.2,1
140390.3,69,2,7,6,235410.9,1
106841.0,78,3,2,5,386222.4,1
90537.0,35,1,2,2,302056.9,0
37910.1,20,3,1,1,399464.6,1
92422.6,52,2,8,2,308886.5,0
150000.0,31,4,18,5,249790.5,1
66938.5,47,1,11,8,15198.2,1
88387.4,80,1,11,1,82333.3,1
29060.8,45,2,9,8,406164.6,1
