"id";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
2;0,21;"Premium";"E";"SI1";59,8;61;326;3,89;3,84;2,31
3;0,23;"Good";"E";"VS1";56,9;65;327;4,05;4,07;2,31
5;0,31;"Good";"J";"SI2";63,3;58;335;4,34;4,35;2,75
6;0,24;"Very Good";"J";"VVS2";62,8;57;336;3,94;3,96;2,48
9;0,22;"Fair";"E";"VS2";65,1;61;337;3,87;3,78;2,49
13;0,22;"Premium";"F";"SI1";60,4;61;342;3,88;3,84;2,33
14;0,31;"Ideal";"J";"SI2";62,2;54;344;4,35;4,37;2,71
15;0,2;"Premium";"E";"SI2";60,2;62;345;3,79;3,75;2,27
18;0,3;"Good";"J";"SI1";63,4;54;351;4,23;4,29;2,7
19;0,3;"Good";"J";"SI1";63,8;56;351;4,23;4,26;2,71
21;0,3;"Good";"I";"SI2";63,3;56;351;4,26;4,3;2,71
23;0,23;"Very Good";"H";"VS1";61;57;353;3,94;3,96;2,41
24;0,31;"Very Good";"J";"SI1";59,4;62;353;4,39;4,43;2,62
27;0,24;"Premium";"I";"VS1";62,5;57;355;3,97;3,94;2,47
28;0,3;"Very Good";"J";"VS2";62,2;57;357;4,28;4,3;2,67
29;0,23;"Very Good";"D";"VS2";60,5;61;357;3,96;3,97;2,4
30;0,23;"Very Good";"F";"VS1";60,9;57;357;3,96;3,99;2,42
31;0,23;"Very Good";"F";"VS1";60;57;402;4;4,03;2,41
32;0,23;"Very Good";"F";"VS1";59,8;57;402;4,04;4,06;2,42
33;0,23;"Very Good";"E";"VS1";60,7;59;402;3,97;4,01;2,42
34;0,23;"Very Good";"E";"VS1";59,5;58;402;4,01;4,06;2,4
35;0,23;"Very Good";"D";"VS1";61,9;58;402;3,92;3,96;2,44
36;0,23;"Good";"F";"VS1";58,2;59;402;4,06;4,08;2,37
38;0,31;"Good";"H";"SI1";64;54;402;4,29;4,31;2,75
41;0,33;"Ideal";"I";"SI2";61,2;56;403;4,49;4,5;2,75
44;0,26;"Good";"D";"VS1";58,4;63;403;4,19;4,24;2,46
46;0,29;"Premium";"F";"SI1";62,4;58;403;4,24;4,26;2,65
47;0,32;"Very Good";"H";"SI2";61,8;55;403;4,35;4,42;2,71
49;0,25;"Very Good";"E";"VS2";63,3;60;404;4;4,03;2,54
50;0,29;"Very Good";"H";"SI2";60,7;60;404;4,33;4,37;2,64
51;0,24;"Very Good";"F";"SI1";60,9;61;404;4,02;4,03;2,45
53;0,32;"Ideal";"I";"SI1";60,9;55;404;4,45;4,48;2,72
54;0,22;"Premium";"E";"VS2";61,6;58;404;3,93;3,89;2,41
57;0,3;"Premium";"J";"SI2";59,3;61;405;4,43;4,38;2,61
59;0,3;"Very Good";"I";"SI1";63;57;405;4,28;4,32;2,71
60;0,3;"Good";"I";"SI1";63,2;55;405;4,25;4,29;2,7
61;0,35;"Ideal";"I";"VS1";60,9;57;552;4,54;4,59;2,78
62;0,3;"Premium";"D";"SI1";62,6;59;552;4,23;4,27;2,66
64;0,3;"Ideal";"D";"SI1";62,1;56;552;4,3;4,33;2,68
65;0,42;"Premium";"I";"SI2";61,5;59;552;4,78;4,84;2,96
67;0,32;"Ideal";"I";"VVS1";62;55,3;553;4,39;4,42;2,73
68;0,31;"Very Good";"G";"SI1";63,3;57;553;4,33;4,3;2,73
69;0,31;"Premium";"G";"SI1";61,8;58;553;4,35;4,32;2,68
70;0,24;"Premium";"E";"VVS1";60,7;58;553;4,01;4,03;2,44
72;0,3;"Very Good";"H";"SI1";63,1;56;554;4,29;4,27;2,7
73;0,3;"Premium";"H";"SI1";62,9;59;554;4,28;4,24;2,68
74;0,3;"Premium";"H";"SI1";62,5;57;554;4,29;4,25;2,67
75;0,3;"Good";"H";"SI1";63,7;57;554;4,28;4,26;2,72
76;0,26;"Very Good";"F";"VVS2";59,2;60;554;4,19;4,22;2,49
78;0,26;"Very Good";"D";"VVS2";62,4;54;554;4,08;4,13;2,56
79;0,26;"Very Good";"D";"VVS2";62,8;60;554;4,01;4,05;2,53
81;0,26;"Very Good";"E";"VVS1";63,4;59;554;4;4,04;2,55
82;0,26;"Very Good";"D";"VVS1";62,1;60;554;4,03;4,12;2,53
83;0,26;"Ideal";"E";"VVS2";62,9;58;554;4,02;4,06;2,54
84;0,38;"Ideal";"I";"SI2";61,6;56;554;4,65;4,67;2,87
