in-store,age,items,amount,region
1,33,4,1937.50,1
1,51,5,908.31,1
1,47,3,767.54,1
1,33,2,684.32,1
1,20,7,1901.30,1
1,55,4,267.18,1
1,31,6,901.70,1
1,59,3,346.26,1
1,36,7,96.54,1
1,22,2,1008.20,1
1,27,4,961.23,1
1,26,4,200.27,1
1,40,2,748.35,1
1,26,4,803.38,1
1,45,3,532.40,1
1,53,2,917.28,1
1,44,2,1254.80,1
1,55,2,1288.10,1
1,67,7,136.97,1
1,19,7,1995.00,1
1,38,6,368.29,1
1,67,5,59.91,1
1,32,4,659.64,1
1,48,2,750.05,1
1,36,8,813.28,1
1,26,3,1352.40,1
1,70,8,535.17,1
1,51,2,1037.00,1
1,46,5,142.84,1
1,56,4,345.49,1
1,40,7,505.54,1
1,26,6,59.05,1
1,26,7,917.57,1
1,38,6,790.75,1
1,24,2,1700.70,1
1,54,2,577.67,1
1,26,2,867.20,1
1,71,5,825.88,1
1,49,1,1931.50,1
1,26,6,90.49,1
1,46,7,876.99,1
1,42,3,848.48,1
1,43,6,1816.60,1
1,28,4,346.60,1
1,40,8,483.71,1
1,56,1,669.13,1
1,65,4,386.28,1
1,28,3,759.93,1
1,48,2,1622.80,1
1,24,4,703.08,1
1,25,2,1703.10,1
1,68,7,493.28,1
1,69,2,604.29,1
1,48,4,852.17,1
1,68,7,405.51,1
1,42,4,380.73,1
1,49,6,975.60,1
1,54,5,331.86,1
1,37,4,1787.00,1
1,73,1,587.95,1
1,33,7,166.75,1
1,45,2,491.12,1
1,62,4,892.21,1
1,42,5,710.63,1
1,44,4,699.50,1
1,54,2,599.89,1
1,65,7,947.68,1
1,41,1,242.73,1
1,56,7,557.46,1
1,21,2,1552.60,1
1,25,7,236.99,1
1,70,2,448.18,1
1,43,5,1920.60,1
1,37,4,279.77,1
1,44,5,535.09,1
1,24,4,804.09,1
1,27,7,969.84,1
1,71,6,839.85,1
1,48,6,1797.70,1
1,64,1,641.46,1
1,44,3,1863.30,1
1,21,5,1019.30,1
1,62,6,182.61,1
1,45,5,197.11,1
1,34,1,87.06,1
1,41,5,743.13,1
1,45,7,795.34,1
1,27,7,1288.00,1
1,49,5,877.50,1
1,27,2,303.53,1
1,53,4,867.54,1
1,22,6,570.50,1
1,53,4,1202.70,1
1,35,4,775.46,1
1,55,1,1104.10,1
1,59,2,169.90,1
1,33,2,563.09,1
1,52,4,70.34,1
1,37,6,1203.20,1
1,24,8,952.21,1
1,42,3,828.04,1
1,39,7,178.99,1
1,35,6,645.39,1
1,26,4,412.31,1
1,48,7,205.76,1
1,54,7,690.97,1
1,30,6,777.29,1
1,36,7,393.84,1
1,54,5,663.03,1
1,71,7,183.89,1
1,55,2,814.50,1
1,20,3,1696.90,1
1,48,7,683.07,1
1,38,1,1070.20,1
1,73,4,493.45,1
1,54,5,939.03,1
1,38,1,298.96,1
1,36,3,533.05,1
1,30,5,282.11,1
1,42,4,1824.30,1
1,26,1,826.50,1
1,43,3,950.99,1
1,55,3,986.00,1
1,66,3,104.60,1
1,33,8,618.49,1
1,54,8,522.12,1
1,58,5,817.70,1
1,40,8,572.99,1
1,36,6,669.56,1
1,39,5,587.43,1
1,36,8,1799.20,1
1,30,3,1590.70,1
1,70,6,442.91,1
1,60,5,76.27,1
1,28,5,598.59,1
1,52,2,765.29,1
1,43,3,370.36,1
1,44,2,1914.00,1
